title,runtime,release_year
Ariel,69.0,1988
Shadows in Paradise,76.0,1986
Four Rooms,98.0,1995
Judgment Night,110.0,1993
Star Wars,121.0,1977
Finding Nemo,100.0,2003
Forrest Gump,142.0,1994
American Beauty,122.0,1999
Citizen Kane,119.0,1941
Dancer in the Dark,140.0,2000
The Dark,87.0,2006
The Fifth Element,126.0,1997
Metropolis,153.0,1927
My Life Without Me,106.0,2003
The Endless Summer,95.0,1966
Pirates of the Caribbean: The Curse of the Black Pearl,143.0,2003
Kill Bill: Vol. 1,111.0,2003
Jarhead,125.0,2005
Walk on Water,103.0,2004
9 Songs,66.0,2004
Apocalypse Now,153.0,1979
Magnetic Rose,44.0,1995
Unforgiven,131.0,1992
The Simpsons Movie,87.0,2007
Eternal Sunshine of the Spotless Mind,108.0,2004
Amores perros,154.0,2000
Pirates of the Caribbean: Dead Man's Chest,151.0,2006
A History of Violence,96.0,2005
2001: A Space Odyssey,149.0,1968
Twelve Monkeys,129.0,1995
Talk to Her,112.0,2002
8 Mile,110.0,2002
Absolute Power,121.0,1997
Paradise Now,90.0,2005
Brazil,132.0,1985
Walk the Line,136.0,2005
Million Dollar Baby,132.0,2004
Billy Elliot,110.0,2000
American History X,119.0,1998
War of the Worlds,116.0,2005
Mars Attacks!,106.0,1996
Before Sunrise,105.0,1995
Memento,113.0,2000
Blade Runner,117.0,1982
Hero,99.0,2002
Before Sunset,80.0,2004
Nausicaä of the Valley of the Wind,117.0,1984
Miami Vice,134.0,2006
Open Water,79.0,2004
Raiders of the Lost Ark,115.0,1981
The Elementary Particles,105.0,2006
Indiana Jones and the Temple of Doom,118.0,1984
Dirty Dancing,100.0,1987
Indiana Jones and the Last Crusade,127.0,1989
Beverly Hills Cop,105.0,1984
Land Without Bread,29.0,1933
Megacities,94.0,1998
Anatomy of a Murder,160.0,1959
Armageddon,151.0,1998
Beverly Hills Cop II,100.0,1987
Tron,96.0,1982
Gladiator,155.0,2000
All About My Mother,101.0,1999
"Lock, Stock and Two Smoking Barrels",105.0,1998
Leon: The Professional,110.0,1994
Open Hearts,113.0,2002
Taxi Driver,114.0,1976
Run Lola Run,81.0,1998
Back to the Future,116.0,1985
Predator,107.0,1987
Snatch,103.0,2000
Three Colors: Blue,98.0,1993
