title,release_date,revenue,budget,return,crew
Ariel,1988-10-21,0.0,0.0,0.0,Aki Kaurismäki
Shadows in Paradise,1986-10-16,0.0,0.0,0.0,Aki Kaurismäki
Four Rooms,1995-12-09,4300000.0,4000000.0,1.075,Allison Anders
Four Rooms,1995-12-09,4300000.0,4000000.0,1.075,Alexandre Rockwell
Four Rooms,1995-12-09,4300000.0,4000000.0,1.075,Robert Rodriguez
Four Rooms,1995-12-09,4300000.0,4000000.0,1.075,Quentin Tarantino
Judgment Night,1993-10-15,12136938.0,0.0,0.0,Stephen Hopkins
Star Wars,1977-05-25,775398007.0,11000000.0,70.49072790909091,George Lucas
Finding Nemo,2003-05-30,940335536.0,94000000.0,10.003569531914891,Andrew Stanton
Forrest Gump,1994-07-06,677945399.0,55000000.0,12.326279981818182,Robert Zemeckis
American Beauty,1999-09-15,356296601.0,15000000.0,23.753106733333333,Sam Mendes
Citizen Kane,1941-04-30,23217674.0,839727.0,27.64907404430249,Orson Welles
Dancer in the Dark,2000-05-17,40031879.0,12800000.0,3.127490546875,Lars von Trier
The Dark,2006-01-26,0.0,0.0,0.0,John Fawcett
The Fifth Element,1997-05-07,263920180.0,90000000.0,2.9324464444444445,Luc Besson
Metropolis,1927-01-10,650422.0,92620000.0,0.0070224789462319,Fritz Lang
My Life Without Me,2003-03-07,9726954.0,0.0,0.0,Isabel Coixet
The Endless Summer,1966-06-15,0.0,0.0,0.0,Bruce Brown
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,655011224.0,140000000.0,4.6786516,Gore Verbinski
Kill Bill: Vol. 1,2003-10-10,180949000.0,30000000.0,6.031633333333334,Quentin Tarantino
Jarhead,2005-11-04,96889998.0,72000000.0,1.345694416666667,Sam Mendes
Walk on Water,2004-02-05,0.0,1400000.0,0.0,Eytan Fox
9 Songs,2004-07-16,1574623.0,1000000.0,1.574623,Michael Winterbottom
Apocalypse Now,1979-08-15,89460381.0,31500000.0,2.8400120952380954,Francis Ford Coppola
Magnetic Rose,1995-12-23,0.0,0.0,0.0,Kouji Morimoto
Unforgiven,1992-08-07,159157447.0,14000000.0,11.368389071428572,Clint Eastwood
The Simpsons Movie,2007-07-25,527068851.0,75000000.0,7.02758468,David Silverman
Eternal Sunshine of the Spotless Mind,2004-03-19,72258126.0,20000000.0,3.6129063,Michel Gondry
Amores perros,2000-06-16,20908467.0,2000000.0,10.4542335,Alejandro González Iñárritu
Pirates of the Caribbean: Dead Man's Chest,2006-06-20,1065659812.0,200000000.0,5.32829906,Gore Verbinski
A History of Violence,2005-09-23,60740827.0,32000000.0,1.89815084375,David Cronenberg
2001: A Space Odyssey,1968-04-10,68700000.0,10500000.0,6.542857142857143,Stanley Kubrick
Twelve Monkeys,1995-12-29,168840000.0,29500000.0,5.7233898305084745,Terry Gilliam
Talk to Her,2002-03-14,51001550.0,9285469.0,5.49261970504667,Pedro Almodóvar
8 Mile,2002-11-08,215000000.0,41000000.0,5.243902439024391,Curtis Hanson
Absolute Power,1997-02-14,50068310.0,50000000.0,1.0013662,Clint Eastwood
Paradise Now,2005-02-14,3357075.0,0.0,0.0,Hany Abu-Assad
Brazil,1985-02-20,0.0,15000000.0,0.0,Terry Gilliam
Walk the Line,2005-09-13,186438883.0,28000000.0,6.658531535714285,James Mangold
Million Dollar Baby,2004-12-15,216763646.0,30000000.0,7.225454866666666,Clint Eastwood
Billy Elliot,2000-05-18,110000000.0,5000000.0,22.0,Stephen Daldry
American History X,1998-10-30,23875127.0,20000000.0,1.19375635,Tony Kaye
War of the Worlds,2005-06-28,591739379.0,132000000.0,4.482874083333333,Steven Spielberg
Mars Attacks!,1996-12-12,101371017.0,70000000.0,1.4481573857142858,Tim Burton
Before Sunrise,1995-01-27,5535405.0,2500000.0,2.214162,Richard Linklater
Memento,2000-10-11,39723096.0,9000000.0,4.413677333333333,Christopher Nolan
Blade Runner,1982-06-25,33139618.0,28000000.0,1.1835577857142856,Ridley Scott
Hero,2002-12-19,177394432.0,31000000.0,5.722401032258064,Zhang Yimou
Before Sunset,2004-02-10,15992615.0,2700000.0,5.923190740740741,Richard Linklater
Nausicaä of the Valley of the Wind,1984-03-11,3301446.0,1000000.0,3.301446,Hayao Miyazaki
Miami Vice,2006-07-27,163794509.0,135000000.0,1.2132926592592592,Michael Mann
